2	106	4.85
2	33	0.04
2	143	9.16
2	61	1.61
2	161	4.94
2	40	0.71
2	103	1.61
2	102	0.76
2	45	5.76
2	158	7.26
2	75	1.37
2	42	4.08
2	84	1.02
2	140	1.02
2	69	8.78
2	107	9.4
2	138	3.11
2	41	4.88
2	112	1.56
2	199	8.12
2	176	1.26
2	119	4.19
2	144	5.33
2	148	7.67
2	194	1.18
3	160	2.3
3	99	0.5
3	195	1.89
3	109	5.02
3	198	9.81
3	83	3.76
3	135	4.49
3	183	5.58
3	36	6.32
3	153	1.74
3	124	6.16
3	52	5.92
3	70	6.76
3	93	0.44
3	5	3.14
3	19	9.79
3	169	0.85
3	146	2.76
3	88	0.93
3	30	9.92
3	71	7.53
3	154	4.37
3	139	4.15
3	91	5.39
3	11	5.47
3	148	0.14
3	58	5.59
3	126	7.78
3	20	8.3
3	199	3.72
4	145	4.25
4	186	9.51
4	200	0.2
4	190	0.19
4	68	9.76
4	25	5.68
4	78	7.65
4	183	1.71
4	133	1.37
4	99	4.32
4	59	8.94
4	152	0.91
4	189	9.75
4	93	2.58
4	180	9.94
4	7	4.86
4	105	3.61
4	103	9.43
4	136	6.37
4	132	4.83
4	131	8.83
4	21	9.84
4	169	2.45
4	60	3.01
5	30	7.25
5	62	3.79
5	83	6.68
5	198	6.55
5	64	2.95
5	196	5.33
5	11	3.3
5	171	6.82
5	154	7.64
5	87	0.19
5	105	5.98
5	40	2.74
5	29	8.6
5	130	6.27
5	101	1.81
5	157	9.62
5	109	8.1
5	143	4.94
5	133	8.02
5	167	4.38
6	54	8.22
6	99	7.45
6	21	4.55
6	128	9.72
6	158	2.63
6	174	7.01
6	12	1.03
6	143	3.91
6	142	2.27
6	127	6.59
6	36	7.45
6	56	5.55
6	170	9.36
6	52	3.12
6	167	2.01
6	27	4.31
6	46	6.96
6	101	2.79
6	30	8.45
6	20	9.3
6	38	4.63
6	22	4.32
6	71	2.46
6	83	6.31
7	178	2.63
7	63	8.9
7	27	1.07
7	66	9.91
7	169	9.51
7	124	3.96
7	56	4.25
7	148	3.67
7	45	3.74
7	74	9.69
7	167	6.43
7	84	9.34
7	60	8.44
7	71	2.77
7	49	6.93
7	75	8.56
7	104	5.46
7	142	9.6
7	19	4.29
7	157	1.57
7	131	4.08
8	197	8.27
8	35	3.85
8	100	6.08
8	75	4.52
8	144	4.63
8	115	0.75
8	11	7.11
8	18	6.9
8	154	4.64
8	30	2.27
8	55	1.87
8	187	6.38
8	98	7.81
8	101	5.18
8	138	0.09
8	104	6.05
8	46	9.55
8	128	7.89
8	50	7.16
8	114	5.42
8	119	8.79
8	146	1.91
8	178	8.64
8	95	3.4
8	69	9.47
8	133	8.85
8	83	7.41
8	53	2.54
9	135	4.92
9	152	3.51
9	122	5.93
9	120	1.65
9	93	9.64
9	159	8.27
9	106	0.06
9	136	4.1
9	48	2.23
9	130	2.41
9	39	3.76
9	150	8.27
9	40	3.87
9	80	5.75
9	137	8.22
9	11	6.46
9	97	0.86
9	170	8.18
