3.997;7.000;3.250
3.978;7.096;3.250
3.924;7.177;3.250

3.997;7.000;3.250
3.924;7.177;3.250
3.843;7.231;3.250

3.997;7.000;3.250
3.843;7.231;3.250
3.747;7.250;3.250

3.997;7.000;3.250
3.747;7.250;3.250
3.651;7.231;3.250

3.997;7.000;3.250
3.651;7.231;3.250
3.570;7.177;3.250

3.997;7.000;3.250
3.570;7.177;3.250
3.516;7.096;3.250

3.997;7.000;3.250
3.516;7.096;3.250
3.497;7.000;3.250

3.997;7.000;3.250
3.497;7.000;3.250
3.516;6.904;3.250

3.997;7.000;3.250
3.516;6.904;3.250
3.570;6.823;3.250

3.997;7.000;3.250
3.570;6.823;3.250
3.651;6.769;3.250

3.997;7.000;3.250
3.651;6.769;3.250
3.747;6.750;3.250

3.997;7.000;3.250
3.747;6.750;3.250
3.843;6.769;3.250

3.997;7.000;3.250
3.843;6.769;3.250
3.924;6.823;3.250

3.997;7.000;3.250
3.924;6.823;3.250
3.978;6.904;3.250

3.997;7.000;-3.550
3.978;6.904;-3.550
3.924;6.823;-3.550

3.997;7.000;-3.550
3.924;6.823;-3.550
3.843;6.769;-3.550

3.997;7.000;-3.550
3.843;6.769;-3.550
3.747;6.750;-3.550

3.997;7.000;-3.550
3.747;6.750;-3.550
3.651;6.769;-3.550

3.997;7.000;-3.550
3.651;6.769;-3.550
3.570;6.823;-3.550

3.997;7.000;-3.550
3.570;6.823;-3.550
3.516;6.904;-3.550

3.997;7.000;-3.550
3.516;6.904;-3.550
3.497;7.000;-3.550

3.997;7.000;-3.550
3.497;7.000;-3.550
3.516;7.096;-3.550

3.997;7.000;-3.550
3.516;7.096;-3.550
3.570;7.177;-3.550

3.997;7.000;-3.550
3.570;7.177;-3.550
3.651;7.231;-3.550

3.997;7.000;-3.550
3.651;7.231;-3.550
3.747;7.250;-3.550

3.997;7.000;-3.550
3.747;7.250;-3.550
3.843;7.231;-3.550

3.997;7.000;-3.550
3.843;7.231;-3.550
3.924;7.177;-3.550

3.997;7.000;-3.550
3.924;7.177;-3.550
3.978;7.096;-3.550

3.997;7.000;-3.550
3.978;7.096;-3.550
3.978;7.096;3.250

3.997;7.000;-3.550
3.978;7.096;3.250
3.997;7.000;3.250

3.978;7.096;-3.550
3.924;7.177;-3.550
3.924;7.177;3.250

3.978;7.096;-3.550
3.924;7.177;3.250
3.978;7.096;3.250

3.924;7.177;-3.550
3.843;7.231;-3.550
3.843;7.231;3.250

3.924;7.177;-3.550
3.843;7.231;3.250
3.924;7.177;3.250

3.843;7.231;-3.550
3.747;7.250;-3.550
3.747;7.250;3.250

3.843;7.231;-3.550
3.747;7.250;3.250
3.843;7.231;3.250

3.747;7.250;-3.550
3.651;7.231;-3.550
3.651;7.231;3.250

3.747;7.250;-3.550
3.651;7.231;3.250
3.747;7.250;3.250

3.651;7.231;-3.550
3.570;7.177;-3.550
3.570;7.177;3.250

3.651;7.231;-3.550
3.570;7.177;3.250
3.651;7.231;3.250

3.570;7.177;-3.550
3.516;7.096;-3.550
3.516;7.096;3.250

3.570;7.177;-3.550
3.516;7.096;3.250
3.570;7.177;3.250

3.516;7.096;-3.550
3.497;7.000;-3.550
3.497;7.000;3.250

3.516;7.096;-3.550
3.497;7.000;3.250
3.516;7.096;3.250

3.497;7.000;-3.550
3.516;6.904;-3.550
3.516;6.904;3.250

3.497;7.000;-3.550
3.516;6.904;3.250
3.497;7.000;3.250

3.516;6.904;-3.550
3.570;6.823;-3.550
3.570;6.823;3.250

3.516;6.904;-3.550
3.570;6.823;3.250
3.516;6.904;3.250

3.570;6.823;-3.550
3.651;6.769;-3.550
3.651;6.769;3.250

3.570;6.823;-3.550
3.651;6.769;3.250
3.570;6.823;3.250

3.651;6.769;-3.550
3.747;6.750;-3.550
3.747;6.750;3.250

3.651;6.769;-3.550
3.747;6.750;3.250
3.651;6.769;3.250

3.747;6.750;-3.550
3.843;6.769;-3.550
3.843;6.769;3.250

3.747;6.750;-3.550
3.843;6.769;3.250
3.747;6.750;3.250

3.843;6.769;-3.550
3.924;6.823;-3.550
3.924;6.823;3.250

3.843;6.769;-3.550
3.924;6.823;3.250
3.843;6.769;3.250

3.924;6.823;-3.550
3.978;6.904;-3.550
3.978;6.904;3.250

3.924;6.823;-3.550
3.978;6.904;3.250
3.924;6.823;3.250

3.978;6.904;-3.550
3.997;7.000;-3.550
3.997;7.000;3.250

3.978;6.904;-3.550
3.997;7.000;3.250
3.978;6.904;3.250
